Query,JD
Receptionist,"<strong>Position: </strong> ??Receptionist\r\n \r\n<strong>Category: </strong> ??Clerical\r\n \r\n<strong>Shift: </strong> ??Evenings\r\n \r\n<strong>Education Level: </strong> ??High School/G.E.D.\r\n \r\n<strong>Location Name: </strong> ??Suburban Pavilion Nursing & Rehabilitation Center\r\n \r\n<strong>Part Time Receptionist - Long Term Care Facility</strong></p><strong>Suburban Pavilion Nursing and Rehabilitation Center</strong> is currently seeking a courteous and capable receptionist to fill a part time position. The receptionist position works every other weekend, 3 pm - 8 pm, and every other Monday, 4:30 pm - 8 pm.</p><p>The ideal candidate for the receptionist position will have business office skills including typing, filing and financial skills. He/she must be computer literate and proficient in Microsoft Excel. The receptionist must be punctual, dependable, able to work with others and able to be pleasant to visitors and family members both in person and on the phone.\r\n\r\nOur company offers its employees a friendly and supportive work environment, competitive wages, an excellent benefits package for full time associates, and paid time off for part time employees.\r\n\r\nThis is your chance to come on board and become one of our World Class employees!</p>"
Physical Therapist,"<center><strong><em><span style=""text-decoration: underline"">PHYSICAL THERAPIST<br>\r</span></em></strong><br>\r<strong><em>WORK FOR THERAPISTS UNLIMITED & CAREERSTAFF UNLIMITED<br>\r<br>\rWe value every therapist, we treat you with respect and care<br>\rWe seek to ensure the best contract for YOU<br>\rWe want your job to be the best!<br>\r</em></strong><br>\r<br>\rCurrently seeking full time, part time, and per diem??Physical??Therapists for assignments at various client clinical settings throughout the state. <br>\r<br>\rWe offer flexibility in schedules, top pay, variety in clinical settings, and a full benefits package. <br>\r<br>\r<br>\r401k with company match<br>\rBenefits (health, life, dental)<br>\rPaid Days Leave<br>\rFT, PT or PRN available<br>\r<br>\r<strong><span style=""text-decoration: underline"">Incentives<br>\r</span></strong>CEU reimbursement<br>\rTuition, licensure fees, cell phone/internet reimbursement<br>\rTravel Stipends (when applicable)<br>\rMileage (when applicable)<br>\r$500 referral for therapist placed in position<br>\r<br>\r<br>\r<br>\rAlso??hiring Physical Therapy Assistants and accepting referrals <br>\r??</center>"
Java Developer,"<b>Responsibilities:</b> The Java Developer will work with a team in support of technical projects undertaken to grow our Dodgeville, Wisconsin client's business. The key to success will be the ability to maintain a sense of urgency in being quality-focused, results-driven and self-motivated while developing high-quality technical solutions to business needs. In addition, the developer would be responsible for learning new technologies and maintaining excellent documentation of work products.\r\nDuties:\r\n<UL><LI>Analysis and design of custom solutions or customizations of standard solutions</li>\r\n<li>Develop custom code</li>\r\n<li>Unit test custom application development</li>\r\n<li>Develop integration interfaces and logic</li>\r\n<li>Provide input into technical design documentation</li>\r\n<li>Support other technical project resources related to application development</li>\r\n<li>Perform transition/handover for all aspects of solutions developed</li>\r\n<li>Provide detail design and documentation of each component of the solution; such as data migration, integration, and custom development</li>\r\n<li>Support of existing applications</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1139616T1~99"
Physical Therapist,"<b>\r<hr>\r<p style=""text-align: center"">Physical Therapist </p>\r<hr>\r</b>\r<center><b>* Clinical Excellence* Innovation * Professional Development * Advanced Technology *</b></center><br>\r<strong><span style=""text-decoration: underline"">Why work at Amedisys?</span></strong>\r<ul>\r    <li>Competitive salaries and strong benefits for you and your family including a 401(k) retirement account, health care benefits and paid vacation time.\r    <li>We believe that our people are our business. Amedisys invests in you throughout your career with us including a Career Ladders program and Lifelong Learning educational opportunities.\r    <li>Working for Amedisys you will be a part of a culture that is focused on doing the right thing, at the right time, for every patient. </li>\r</ul>\r<br>\r<strong><span style=""text-decoration: underline"">About Us</span></strong><br>\r<br>\r<strong>Dream big. Think outside the box. See the possibilities. Offer creative solutions. Amedisys listens.</strong><br>\r<br>\r<strong>Amedisys Home Health Services</strong> is a leading provider of home health and hospice services. As a national company, we have a far reach and have positioned ourselves as an industry leader in quality care and as the company that is reducing acute care hospitalization.<br>\r<br>\r<strong>As our growth rapidly continues, we are seeking dynamic employees to aide in our mission:</strong>\r<ul>\r    <li>To improve the quality of life in the patients entrusted to our care.\r    <li>To be the premier home health company in the communities we serve. </li>\r</ul>\r<br>\r<p><strong><span style=""text-decoration: underline"">Responsibilities of Physical Therapist:<br>\r<br>\r</span></strong></p>\r<ul>\r    <li>Evaluate and treat patients using the most current technology and practices\r    <li>Provide valuable input into the patienta??s care and treatment\r    <li>Gain quality experience in working with a multi-disciplinary team and personal patient interaction\r    <li>Spend more time working with patients and make a significant difference in their lives </li>\r</ul>"
Physical Therapist,"<b>Job Description </b><br>\r<br>\r<center><b>Join A team Of Phenomenal Outpatient Orthopedic Clinicians!</b><br>\r<br>\r<b>Part-Time PHYSICAL THERAPIST (24 hours per week) </b><br>\r<br>\r<b>Cleveland, NC </b><br>\r<br>\r<br>\r<a href=""http://www.concentra.com/employers/physical-therapy/"">www.ConcentraPT.com</a>&nbsp;&nbsp; (800) 232-3550<br>\r<br>\r<br>\r</center><b>Our philosophy</b> is a focus of dynamic early intervention (seeing patients typically within 1 to 3 days of their injury - no chronic pain). It is a hands-on sports medicine approach to musculoskeletal medicine. We employ highly motivated therapists who understand customer service towards patients and the employers we serve. <br>\r<br>\r<b>Concentra Physical Therapy</b> offers therapists the opportunity to provide care to the private/group health and Occupational Medicine patients as well as providing Wellness services to the general populaton.<br>\r<br>\r<b>BENEFITS SUMMARY:</b>\r<ul>\r    <li>Career advancement pathway\r    <li>Excellent work/life balance: Mon. thru Fri. schedule\r    <li>Competitive compensation packages\r    <li>Evidence based practice\r    <li>Treat and evaluate patients </li>\r</ul>\r<br>\rSuccessful candidates will be those who exemplify the welcoming, respectful &amp; skillful behaviors that support our Company focus on excellence in health, wellness, customer service and a passion for lifestyle change.<br>\r<br>\rPlease contact Anita Young for additional information (or apply on-line): <a href=""mailto:Anita_Young@Concentra.com"">Anita_Young@Concentra.com</a> 800-232-3550 ext. 76462<br>\r<br>\rEOE<br>\r<br>\rThis job requires access to confidential and sensitive information, requiring ongoing discretion and secure information management.<br>\r<br>"
Store Manager,"<p>Are you the type of person that wants to be challenged every day?&nbsp; Do you want to be the boss?&nbsp; Are you looking for a career that offers you experience and opportunity for rapid advancement?&nbsp; Do you want to work with fun, outgoing, motivated people like yourself?&nbsp; Would you like to learn how to run a business, but don&rsquo;t want to be stuck behind a desk all day?&nbsp; <strong>If your answers were YES, then we would like to talk to you about a Management Career with Team Waterway&reg;!</strong></p>\r<p><span>&nbsp;</span></p>\r<p><span>Waterway&reg; Carwash is a strong and stable company with over 40 years of experience in the service industry and our managers are the #1 reason why we are an industry leader.&nbsp; We have 19 locations in 4 major markets (St. Louis, Kansas City, Denver and Cleveland).</span></p>\r<p><span>&nbsp;</span></p>\r<p><span>We look&nbsp;for confident and accomplished people with leadership qualities to </span><span>manage</span> <span>our modern facilities and </span><span>supervise</span> <span>the washing of cars while progressing through our Management Development Program.&nbsp; Right away, you will receive extensive training in the fields of business operations, leadership and management, human resources, customer service, recruitment, sales and marketing.</span><strong> </strong></p>\r<p><span>&nbsp;</span></p>\r<p><strong><span>The Ideal Candidate is:</span></strong><strong> </strong></p>\r<ul>\r    <li><strong><span>A college graduate with a Bachelor&rsquo;s Degree, or working towards one</span></strong></li>\r    <li><strong><span>Confident, Friendly and Competitive</span></strong></li>\r    <li><strong><span>A Hard Worker who wants to be The Boss</span></strong></li>\r    <li><strong><span>Ambitious with a history of Accomplishments and Achievements</span></strong></li>\r</ul>\r<p><strong><span>&nbsp;</span></strong></p>\r<p>&nbsp;</p>\r<p>Your progression through our Management Development Program starts as a Manager Trainee.&nbsp; It takes just 90 days to complete this rank and when you&rsquo;re done, you&rsquo;ll be ready to run your own shifts and start being the boss!&nbsp; New Waterway managers should expect to earn two promotions during their first year and to be ready to run their own facility within three years.&nbsp; You can expect to earn $33,000 to $38,000 in base pay and bonuses that first year and will have the potential to earn $45,000 to $65,000 once you begin running your own store.</p>\r<p><span>&nbsp;</span></p>\r<p><strong><span>The Perks:</span></strong></p>\r<p><span>&nbsp;</span></p>\r<ul>\r    <li><span>Salaried Position from Day #1 plus Rank Completion and Performance Bonuses</span></li>\r    <li><span>A structured Career Path that makes sense</span></li>\r    <li><span>Medical and Dental Benefits</span></li>\r    <li><span>Long-Term Investment Matching </span></li>\r    <li><span>Tuition Reimbursement available for those who qualify</span></li>\r    <li><span>High Quality Co-Workers, Employees and Customers</span></li>\r    <li><span>An Active, Outdoor Work Environment with Casual Work Attire</span></li>\r    <li><span></span><strong>Free Car Washes and Discounts on Gas</strong></li>\r</ul>\r<ul>\r</ul>"
Maintenance Technician,"<P style=""TEXT-ALIGN: center"" align=center><FONT size=3><FONT size=+0>Maintenance Technician - Job Posting</SPAN></STRONG></FONT></FONT></P>\r<P><STRONG><SPAN><FONT size=3>??</FONT></SPAN></STRONG></P>\r<P><STRONG><SPAN><FONT size=3></FONT></FONT></SPAN></STRONG></P>\r<P><FONT size=3><FONT size=+0>Job Title: </SPAN></STRONG><SPAN>Maintenance Technician</SPAN></FONT></FONT></P>\r<P><FONT size=3><FONT size=+0><STRONG>Reports to:</STRONG> Maintenance Manager</SPAN></FONT></FONT></P>\r<P><FONT size=3><FONT size=+0>FLSA Status: </SPAN></STRONG><SPAN>Non<STRONG>-</STRONG>Exempt<STRONG><SPAN>??????????????????????</SPAN></STRONG>??????</SPAN></FONT></FONT></P>\r<P><FONT size=3><FONT size=+0><STRONG>Employment Status: </STRONG>Full-time - 3rd Shift</SPAN></FONT></FONT></P>\r<P><FONT size=3><FONT size=+0>Business Unit:</SPAN></STRONG><SPAN> Ambulance / Cab?????????????????????????? </SPAN></FONT></FONT></P>\r<P><SPAN><FONT size=3>??</FONT></SPAN></P>\r<P><SPAN><FONT size=3>??</FONT></SPAN></P>\r<P><STRONG><SPAN style=""TEXT-DECORATION: underline""><SPAN><FONT size=3></FONT></SPAN></FONT></SPAN><FONT size=3></STRONG></P>\r<P><STRONG><SPAN><FONT size=3>??</FONT></SPAN></STRONG></P>\r<UL>\r    <LI>Change oil</LI>\r    <LI>Change and repair tires</LI>\r    <LI>Clean assigned areas</LI>\r    <LI>Make service runs</LI>\r    <LI>Perform minor maintenance on vehicles and building</LI>\r    <LI>Other duties assigned as needed</LI>\r</UL>\r<P><STRONG><SPAN><FONT size=3>??</FONT></SPAN></STRONG></P>\r<P><STRONG><SPAN style=""TEXT-DECORATION: underline""><SPAN><FONT size=3></FONT></SPAN></FONT></SPAN><FONT size=3></STRONG></P>\r<P><SPAN><FONT size=3>??</FONT></SPAN></P>\r<P><STRONG><SPAN style=""TEXT-DECORATION: underline""><SPAN><FONT size=3></FONT></SPAN></FONT></SPAN><FONT size=3></STRONG></P>\r<P><FONT size=3></FONT></FONT></SPAN></P>\r<P><SPAN><FONT size=3>?? </SPAN>The employee must occasionally lift and/or move up to 75 pounds.</FONT></FONT></SPAN></P>\r<P><STRONG><SPAN style=""TEXT-DECORATION: underline""><SPAN><FONT size=3></FONT></SPAN></FONT></SPAN><FONT size=3></STRONG></P>\r<P><FONT size=3></FONT></FONT></SPAN></P>\r<P><SPAN><FONT size=3></FONT></SPAN></P>\r<P>??</P>\r<SPAN>\r<P><SPAN><EM>?? </SPAN>We offer??employment opportunity based on job qualifications, without regard to race, color, national origin, sex, age (40 and over), veteran status, pregnancy, religion, disability, genetic information, or sexual orientation.</FONT></EM><SPAN></SPAN></SPAN></P>\r</SPAN></FONT></FONT></FONT></FONT></FONT></FONT>"
Receptionist,"<P style=""TEXT-ALIGN: center"" align=center><STRONG>Receptionist</STRONG></P>\r<P style=""TEXT-ALIGN: center"" align=center>??</P>\r<P>Sand Companies, Inc. is seeking a professional individual to create a positive first impression with every person that visits our office or calls on the phone.?????? Responsibilities include, but are not limited to answering phones, greeting and assisting guests, handling incoming and outgoing mail, ordering office supplies, and various other administrative duties. </P>\r<P>??</P>\r<P>Qualified candidate(s) must demonstrate exceptional communication skills and possess a strong desire to assist others.?? Critical to success is the ability to effectively manage multiple priorities with frequent interruptions.?? Must also demonstrate proficient use of MS Office and a variety of office equipment.?? ??????Previous experience as a receptionist is strongly preferred.</P>\r<P style=""TEXT-ALIGN: center"" align=center>??</P>\r<P style=""TEXT-ALIGN: center"" align=center><STRONG>Sand Companies, Inc.</STRONG></P>\r<P style=""TEXT-ALIGN: center"" align=center><STRONG>PO Box 727</STRONG></P>\r<P style=""TEXT-ALIGN: center"" align=center><STRONG>Waite Park, MN?? 56387</STRONG></P>\r<P style=""TEXT-ALIGN: center"" align=center><A href=""mailto:HR@SandCompanies.com""><STRONG>HR@SandCompanies.com</STRONG></A></P>\r<P style=""TEXT-ALIGN: center"" align=center><STRONG>Fax: 320-202-3139</STRONG></P>\r<P><STRONG>??</STRONG>??</P>\r<P style=""TEXT-ALIGN: center"" align=center><STRONG>EEO/AAP</STRONG></P>"
Physical Therapist,"<b>Job Description </b><br>\r<br>\r<center><b>Join A team Of Phenomenal Outpatient Orthopedic Clinicians!</b><br>\r<br>\r<b>PRN PHYSICAL THERAPIST</b><br>\r<br>\r<b>Charleston, NC </b><br>\r<br>\r<br>\r<a href=""http://www.concentra.com/employers/physical-therapy/"">www.ConcentraPT.com</a>&nbsp;&nbsp; (800) 232-3550<br>\r<br>\r<br>\r</center><b>Our philosophy</b> is a focus of dynamic early intervention (seeing patients typically within 1 to 3 days of their injury - no chronic pain). It is a hands-on sports medicine approach to musculoskeletal medicine. We employ highly motivated therapists who understand customer service towards patients and the employers we serve. <br>\r<br>\r<b>Concentra Physical Therapy</b> offers therapists the opportunity to provide care to the private/group health and Occupational Medicine patients as well as providing Wellness services to the general populaton.<br>\r<br>\r<b>BENEFITS SUMMARY:</b>\r<ul>\r    <li>Career advancement pathway\r    <li>Excellent work/life balance: Mon. thru Fri. schedule\r    <li>Competitive compensation packages\r    <li>Evidence based practice\r    <li>Treat and evaluate patients </li>\r</ul>\r<br>\rSuccessful candidates will be those who exemplify the welcoming, respectful &amp; skillful behaviors that support our Company focus on excellence in health, wellness, customer service and a passion for lifestyle change.<br>\r<br>\rPlease contact Anita Young for additional information (or apply on-line): <a href=""mailto:Anita_Young@Concentra.com"">Anita_Young@Concentra.com</a> 800-232-3550 ext. 76462<br>\r<br>\rEOE<br>\r<br>\rThis job requires access to confidential and sensitive information, requiring ongoing discretion and secure information management.<br>\r<br>"
Receptionist,"<hr>\r<center><strong>Receptionist</strong></center>\r<hr>\r<br>\r<br>\r<strong>Company Description: </strong><br>\rCrown Equipment Corporation designs, manufactures, distributes, services and supports material handling products that provide customers with superior value. Crown has a network of factory direct sales and service dealers doing business as Crown Lift Trucks. As one of the world's largest lift truck manufacturers, Crown is focused on providing solutions that mean improved performance for our customers. <br>\r<br>\r<strong>Job Responsibilities:</strong><br>\r<ul>\r    <li>Screen and receive visitors, phone calls and Company personnel. Sort and distribute mail. Utilize available software to type letters, inter-office memos, faxes, emails, and miscellaneous documents and forms. Make copies, filing, and send out faxes.\r    <li>Assist various departments within the branch with projects and duties as assigned. </li>\r</ul>\r<br>"
