label,title,description
data,BUSINESS ANALYST,"? 10 years experience in roles as a product lead, project manager, business analyst and qa ? engineering background with masters degree in software science and mba ? collaborative, analytical, accountable and customer focused mindset ? initiating, planning, execution, controlling and closing of assigned projects. ? project management certification in process. hands on experience of using project management methodologies and pmbok lifecycle. ? microsoft certified solution developer (mcsd.net)  ? domain knowledge of manufacturing, retail, finance, banking and insurance. ? knowledge of collaborative and project management tools and methodologies ? experience with ibm track of soa (service oriented architect) ? certification course in oracle ? knowledge of cmmi process ? certification course in data mining and business intelligence ? certification course in information security and ethical hacking ? executive program in management, sloan, mit(completed may 2007) ? knowledge in datawarehousing   experience: client: confidential ? boston, ma aug'08 - nov'08 social media and consumer space product head  restoration hardware/brocade home - boston/new york city apr'08 - jul?08 project manager   morgan stanley - wall street, new york city oct'07 ? apr'08 lead analyst  technovation systems ? arlington, ma oct'06 - sep'07  diverture ? boston aug'05- oct'06 project manager and business analyst  fexmax, europe aug'04-aug'05 project manager and business analyst   dhico ? boston jan'03- aug'04 business analyst   cfic home mortgage ? la jan'02-jan'03 got a promotion in this project as a business manager and consultant.  evolutionmarketplace - new orleans city, louisiana jan'01-jan'02  software developer   hi-tech services - belgium apr'98-mar'00 software developer   education: education  masters in software science diploma in mechanical engineering mba (international management) bba executive program in management    : technical experience   data and process modeling tools : software development life cycle, ms visio, rational rose, rational requisitepro. methodologies/frameworks : rup, uml, ooad, and data modeling, business modeling, waterfall. testing tools : mercury winrunner, mercury load runner, qtp, mercury test director and rational test manager. databases : ms access, sql server 2000 and oracle 9i/8, db2 languages : mysql, html, uml, asp.net, vb.net, java, sql operating systems : windows 98/2000/xp office tools : ms word, ms powerpoint, quick books reporting tools : crystal reports 8.0, 9.0, 10.0 project management tool : ms project 2002/2003 business intelligence tools : cognos and business objects. "
data,"Systems Analyst                                                                                                                                 Desired Industry: Computer Software/Programming     SpiderID: 51459             Desired Job Location: Jackson, Michigan     Date Posted: 6/3/2011             Type of Position: Full-Time Permanent     Availability Date: 6/6/11             Desired Wage: 75000                       U.S. Work Authorization: Yes             Job Level: Experienced with over 2 years experience     Willing to Travel: Yes, Less Than 25%             Highest Degree Attained: Bachelors     Willing to Relocate: No                  :? Outstanding abilities in leadership, organization, and project management, coupled with an outstanding record of seamless, on-time, and on-budget system implementations.? Great versatility and flexibility in supporting a wide range of industry-specific systems, including experience coding and maintaining applications for finance, banking, travel, insurance and engineering corporations.? Extensive Programming experience complemented by a strong background coding in both mainframe and distributed environments.? An extensive education and training background that includes a Master in Project Management Certificate from George Washington University.           Experience:Distinguished career leading IT projects and technical teams to deliver targeted business sTrack record of continually improving systems to support complex operations and growthHighly ed IT professional with valuable cross-industry experience and expertise in the analysis, planning, design, testing, and implementation of new applications and system enhancements. Excel at liaising between business and technical teams to define specifications and develop quality, s-based solutions. Strong project leader able to direct multiple tasks effectively and master innovate technologies. Expert problem solver with advanced s in Microsoft Visual Studio 2010, DB2, COBOL, CICS, IBM Utilities, Visual Basic, and object-oriented programming, FORTRAN, PL1, PERL, Security, and assembly language.Highlights of Expertise:? IT Strategy Development? Full Cycle Project Management? Programming / Application Development? Business Engagement / s Analysis? Troubleshooting & Problem Solving ? Test Development & Execution? Continuous System Improvement? Vendor Selection & Management? Communication & Technical Support? Professional Development & Training          Education:EDUCATION & CREDENTIALSEnrolled in Web Development ? Baker College, Jackson, MI    Master¡¯s Certificate in Project Management ? GEORGE WASHINGTON UNIVERSITY, Washington, D.C.Bachelor of Arts Degree in Organizational Management ? SPRING ARBOR COLLEGE, SPRING ARBOR, MIAssociate¡¯s Degree in Business ? JACKSON COMMUNITY COLLEGE, Jackson, MIDegree in Business ? JACKSON COMMUNITY COLLEGE, Jackson, MIAssociate¡¯s Degree in Accounting ¨C Jackson Business University, Jackson, MI          s:Technical ProficienciesOperating Systems: ZOS/3090 IBM Mainframe, P/C XP operating systems, Librarian, PANVALET, APS, Britton Lee (Teradata) database machine, Ethernet Network, Honeywell/BULL 9000 SystemLanguages / Software: Cobol, CICS,  Visual Basic, Microsoft Word, EXCEL, PowerPoint, Microsoft Project, Access, HTML, FORTRAN, PL/1, Assembler , VISIO, PACBASE, RPGII, DMS, JCL, WSF2, UCC7, CA7, Easytrieve, TSO/ISPF, Stored Procedures, PERLDatabases: DB2 / VSAM / Brittan Lee (Teradata), MYSQLMethodologies: Houston, Warnier-Orr, Top-Down, System Life CycleProfessional Development: IBM Debugging Toolset (4 classes), IT Sox Awareness, Records Management, Quality Management, Contract Management, Advanced Project Management, Authentic Leadership, Configuration Management, Web Design, Systematic Problem Solving, Effective Writing s, Valuing Diversity, Productive Presentations, ITM Use Case Development, Advanced Visual Basic, Object-Oriented Analysis and Design, and numerous trainings on MS Office Suite applicationsTechnical ProficienciesOperating Systems: ZOS/3090 IBM Mainframe, P/C XP operating systems, Librarian, PANVALET, APS, Britton Lee (Teradata) database machine, Ethernet Network, Honeywell/BULL 9000 SystemLanguages / Software: Cobol, CICS,  Visual Basic, Microsoft Word, EXCEL, PowerPoint, Microsoft Project, Access, HTML, FORTRAN, PL/1, Assembler , VISIO, PACBASE, RPGII, DMS, JCL, WSF2, UCC7, CA7, Easytrieve, TSO/ISPF, Stored Procedures, PERLDatabases: DB2 / VSAM / Brittan Lee (Teradata), MYSQL, Started Oracle trainingMethodologies: Houston, Warnier-Orr, Top-Down, System Life Cycle          Reference:Available upon request.        Candidate Contact Information:        has chosen not to make contact information available on this page.Click ""Contact Candidate"" to send this candidate a response.              ","? outstanding abilities in leadership, organization, and project management, coupled with an outstanding record of seamless, on-time, and on-budget system implementations.? great versatility and flexibility in supporting a wide range of industry-specific systems, including experience coding and maintaining applications for finance, banking, travel, insurance and engineering corporations.? extensive programming experience complemented by a strong background coding in both mainframe and distributed environments.? an extensive education and training background that includes a master in project management certificate from george washington university.distinguished career leading it projects and technical teams to deliver targeted business strack record of continually improving systems to support complex operations and growthhighly ed it professional with valuable cross-industry experience and expertise in the analysis, planning, design, testing, and implementation of new applications and system enhancements. excel at liaising between business and technical teams to define specifications and develop quality, s-based solutions. strong project leader able to direct multiple tasks effectively and master innovate technologies. expert problem solver with advanced s in microsoft visual studio 2010, db2, cobol, cics, ibm utilities, visual basic, and object-oriented programming, fortran, pl1, perl, security, and assembly language.highlights of expertise:? it strategy development? full cycle project management? programming / application development? business engagement / s analysis? troubleshooting & problem solving ? test development & execution? continuous system improvement? vendor selection & management? communication & technical support? professional development & trainingeducation & credentialsenrolled in web development ? baker college, jackson, mi    master¡¯s certificate in project management ? george washington university, washington, d.c.bachelor of arts degree in organizational management ? spring arbor college, spring arbor, miassociate¡¯s degree in business ? jackson community college, jackson, midegree in business ? jackson community college, jackson, miassociate¡¯s degree in accounting ¨C jackson business university, jackson, mitechnical proficienciesoperating systems: zos/3090 ibm mainframe, p/c xp operating systems, librarian, panvalet, aps, britton lee (teradata) database machine, ethernet network, honeywell/bull 9000 systemlanguages / software: cobol, cics,  visual basic, microsoft word, excel, powerpoint, microsoft project, access, html, fortran, pl/1, assembler , visio, pacbase, rpgii, dms, jcl, wsf2, ucc7, ca7, easytrieve, tso/ispf, stored procedures, perldatabases: db2 / vsam / brittan lee (teradata), mysqlmethodologies: houston, warnier-orr, top-down, system life cycleprofessional development: ibm debugging toolset (4 classes), it sox awareness, records management, quality management, contract management, advanced project management, authentic leadership, configuration management, web design, systematic problem solving, effective writing s, valuing diversity, productive presentations, itm use case development, advanced visual basic, object-oriented analysis and design, and numerous trainings on ms office suite applicationstechnical proficienciesoperating systems: zos/3090 ibm mainframe, p/c xp operating systems, librarian, panvalet, aps, britton lee (teradata) database machine, ethernet network, honeywell/bull 9000 systemlanguages / software: cobol, cics,  visual basic, microsoft word, excel, powerpoint, microsoft project, access, html, fortran, pl/1, assembler , visio, pacbase, rpgii, dms, jcl, wsf2, ucc7, ca7, easytrieve, tso/ispf, stored procedures, perldatabases: db2 / vsam / brittan lee (teradata), mysql, started oracle trainingmethodologies: houston, warnier-orr, top-down, system life cycle"
data,MAINFRAME COBOL PROGRAMMER ANALYST,"as a fully qualified it professional with 25 years of experience of mainframe cobol experience, there is much i can offer to further the advancement of software solutions in an progressive it environment. i possess a multitude of  including, oral/written communication, project management, array of technical , coaching of junior team members, and team leadership, that will enable me to make a significant difference in the advancement of new and old complex it processes.   experience: consultant 4/2009 - present  inforeliance | fairfax, va  government and military ? assist irs account services branch with various programmer analysts? tasks involving support, development and testing of cobol unisys applications. ? supported account services branch modernization project ? migration from unisys cobol-74 to cobol-85. provided systems administration, project management and customer support of it applications in both development and systems acceptance test areas.  ? provided support for release 2 of ucob simulation/compatibility testing.  ? created a new weekly cobol module to summarize the weekly balance due notice imf/bmf control files which contain the print totals for each tif area, along with supporting documentation. ? created support documents to identify and track project progress of all account services branch 2010 mid-year and 2011 filing season work requests.  ? providing support to taxpayer delinquent analysis weekly weekend re-design project. ? performed analysis and completed changes and testing to correct pinex computation in a penalty and interest sub-program. ? complete weekly transmittal reports for account services branch. ? became skilled at extracting test data via the tif database access program.   application system analyst/programmer senior 9/2006 ? 7/2007 state of indiana - department of workforce development | indianapolis, in government and military ? developed cobol software to report employer wage information by quarter for security personnel which would assist with fraud investigation. ? developed and implemented cobol unisys 2200 interfaces to the new debit card system replacing paper checks for unemployment insurance claims. ? completed various other projects to enhance both the mainframe and client/server applications consisting of analysis, coding, testing, documentation, and implementation using sdlc methods.  ? promoted from senior programmer analyst to team lead over the client/server group assigned to manage the projects of 6 team members and approximately 23 oracle and java applications.  ? project manager over the conversion efforts of our appellant and review board unisys cobol applications to the new unemployment insurance modernization oracle applications.  application system analyst/programmer intermediate 5/2003 ? 9/2006 state of indiana - department of correction | indianapolis, in government and military ? responsible for the maintenance and enhancements to the main dept of correction inmate batch and online cobol applications utilizing idms. the system tasks included everything from inmate intake to inmate release and community transition. ? supported the batch and online parole system utilizing analysis, coding, testing, documentation, and implementation . all processes were developed using sdlc methodology. ? applied enhancements to the juvenile application, utilizing db2, sql, cobol, and idms. ? trained in oracle 9i, gaining experience developing new and supporting existing forms and report.  consultant 8/1999 ? 5/2002 nims & associates, inc. team lead ? lead a small group of developers in the conversion efforts of 3 transactions from assembler to cobol/cics. this was a part of a larger project that provided a more reliable system for the customer, along with extending access to business resources, from a few hours a day to 24 hours a day.  functional manager over the developers ? supervised 30 developers with responsibility to make developer work assignments, monitor assignments in order to maintain the project schedule, improve developer processes and procedures to gain effectiveness and efficiency, assist with problem tracking and resolution, prepare weekly status reports, and maintain open communication with management and other functional areas to ensure information was communicated effectively and in a timely fashion. developer ? developed, tested and documented cobol programs in an ibm mainframe environment, applying knowledge of programming techniques and .   applications systems analyst 12/1995 ? 8/1999  eds |  team lead ? technical lead of a small team working on the sales/marketing system for business customer account. responsibilities included the assignment of work, monitoring assignments, assisting with problem resolution, and maintaining effective communication with developers, managers, and business customers.  ? completed project which converted sales/marketing applications to baan software applications. ? completed project which made all sales/marketing applications y2k compliant. ? provided on-call support for sales/marketing system.  systems engineer ? supported the compensation/benefits team for business customer account. responsibilities included resolving cobol application problems, and development and implementation of application enhancements.   education: associate degree, computer technology, indiana vocational technical college, muncie, in 1978   : cobol, alc, oracle 6i/9i/11i, pl/1, ibm mainframes, unisys mainframes, tso/ispf, ecl/ipf, furpur, jcl, panvalet, rosco, champ, librarian, toad, clearcase, db2, ims, idms, vsam, cics, adso, roadmap, sdlc, xpeditor, fileaid, squa, sql, sharepoint, doc-it "
data,Senior Business Analyst - Sungard Financial Solutions,"ashish kansalsenior business analyst - sungard financial solutionscity hall-work experiencesenior business analystsungard financial solutions-september 2014 to presentworking as a business analyst  on adaptiv 360 and adaptiv analytics. about 35 clients use the products a360 and aa for managing their market and credit risk. the key responsibilities include communication with clients to understand exact business s of clients, explaining to the client various functionalities and workflows, produce spread sheets explaining exact result calculations, assisting client regarding the system use by setting up demonstrative examples, creating functional specification documents for new s, providing functional assistance to the development team while implementing new s as well as in addressing functional defects, validating results and reporting problems for new implementations, designing setups for automated functional tests. ;key assignments/ areas: ;? market simulation reports and var calculations using both historical and monte carlo simulations. ;? various sensitivity reports and such as ir sensitivity, fx sensitivity, spread sensitivity, equity risk. ;? calibration and calculations of market data objects such as yield curves, spread curves, cap volatility surface etc. ;? calculations such as bump risk report, scenario analysis, market exposure, and variance risk reports. ;? valuation and sensitivity analysis of equities, derivatives, fixed income products and various otc ir products such as cash, swaps, caps, floors etc. ;? complex otc structured product such as bermudan swaptions, subsidy leg swaps etc. ;? integration of specialized smaller products to a larger platform like product. ;? technical features such as importing and exporting deals, distributed processing, batch processing etc. ;? implemented saccr, was key member in development and implementation ;? working on frtb standardized approach- analyzed s, implementing the same. ; ;some key projects: ;frtb (fundamental review of the trading book) ;? understood the client s for sensitivity based approach and devised the detailed document what is there in the product and how this gap can be filled. basel documentation is analysed and shared the output with the development team through proper process. tested the functionality end to end. involved in demos to the client and uat testing. number validation for default risk charge and rrao was also done. prepared detailed functional and business spec documents ; ;saccr(standardised approach to counterparty credit risk) ;? prepared end to end working model on the excel sheet explained it to the development team. independently tested the functionality and demoed it to the leading clients. prepared detailed specs. ; ;negative rate support for the deposit future ;? the price above 100 was not supported for the deposit future. have analyzed the normal model and supported the same. prepared the working model and tested the functionality. demoed it to the client.educationcfa institute2017mba in financeimt ghaziabadjune 2012 to june 2014b.e. in chemicalthapar university - patiala, punjabkitchlu public school - moga, punjabbirla sen sec. school - pilani, rajasthancertifications/licensesfrmseptember 2016 to presentcfa l1december 2017 to present"
data,Business Analyst,"business analystsingapore-graduated with a degree in economics from the university of queensland. i have experience working in an office environment and team setting from my time in national service and during internships. i am a diligent and a fast learner, and i place utmost importance in ensuring quality and professionalism in my work.work experiencebusiness analystmaybank singapore-june 2018 to presentuat coordinator, to liaise between users and it to rectify defects and report progress of testing to project director? extraction and reporting of uat progression and results from hp alm ;? end to end testing for payment and settlement related projects, capturing and extracting relevant ;data and compilation of test scripts ;? liaise with it to ensure all backend screens (as400) correctly shows transactions from user testsinterncimb bank singapore, commercial banking, compliance and operational risk-january 2017 to february 2017? administrative paperwork ;? checking and organising of audit documents, making sure appropriate documents and forms have ;been filled in accordance with regulation ;? verifying and validating appropriate folders and documents are updated and archived preciselytemp administrative assistantcimb bank singapore, commercial banking, emerging businesses-march 2014 to may 2014drafted daily and weekly reports using word and excel for relationship managers based on sales ;figures and projected targets ;? helped compile and distribute employee notices and reports from oracle bi ;? researched information for higher-ups using as400, norkomintel assistantsingapore armed forces-april 2012 to february 2014? wrote detailed weekly reports pertaining to area of coverage ;? maintained appropriate filing of classified documents ;? daily researching of past and present history and current trends relating to area of coverage ;? composed daily summaries during overnight duties to be sent to saf command chaineducationbachelor of economics in business and industrythe university of queensland - st lucia qldjuly 2014 to december 2017a levelscatholic junior collegefebruary 2010 to december 2011as400, hp alm, ms officelinkshttps://www.linkedin.com/in/wen-xian-ng-a4285a160additional information  ;microsoft office  ;as400 ;hp alm  ;adaptable  ;works well under pressure ;activities & interests ;fencing - inter-school championships 2007 individual 3rd & team 2nd, asian schools championships 2007 team 3rd ;muai thai ;american football ;basketball"
data,Business Analyst,"business analystsingapore-work experiencebusiness analyst-september 2018 to presenti. managed testing cycles, including test plan creation, development of scripts and co-ordination of user acceptance testing.ii. identified process inefficiencies through gap analysis. ;iii. created workflow diagrams to clearly demonstrate business processes such as inpatient & outpatient claim, letter of guarantee (log), insurance policy setup and etc.functional test analyst-august 2016 to august 2018i. based on functional specification documents, identify the changes in business process. ;ii. co-operate with test designer to perform test analysis on test scenarios. ;iii. perform testing to detect program bugs. ;iv. documentation of defect logs in the defect tracking system. ;v. update defect logs in defect tracking system. ;vi. documentation of test artifacts. ;vii. verified data integrity and accuracy.customer service-november 2015 to july 2016i. analyze and identify customers' phone line or network technical issues via phone call. ;ii. maintain the satisfactions of customers by handle with care and provide accurate diagnosis and solution to solve the issues. ;iii. log the details of the issues into database system for future references.educationbachelor's in hon'suniversity science malaysia - penang, myseptember 2011 to june 2015testing (2 years), business analysis (less than 1 year), mapping (less than 1 year), microsoft office (less than 1 year), ms office (less than 1 year), sql query (2 years)certifications/licensessingapore college of insurance health insurance (hi)september 2018 to presentadditional information ; ;- user interface understanding ;- product testing ;- microsoft office suites ;- sql query ;- test case scenarios ;- business process mapping ;- microsoft office suite ;- web-based reporting tools (jira) ;- business analysis ;- workflow analysis ;- quality assurance"
data,Business  Analyst,"business  analystbusiness  analyst - lti singapore-work experiencebusiness  analystlti singapore-may 2017 to presentteam size: 33sales order process & purcharse order process: ; ;managing parts distribution for komatsu clients in us was taken care by pmates system. ; ;responsibilites: ;understands  from the user. ;analysing the . ;converting the  into functional spec /technical spec ;coordinating with it team ;communicate well with business partners, internal it partners and vendors.business  analystmay bank - singapore-july 2016 to may 2017in ;team size: 7 persons. ; ;project details ;digi banking ;the  of this in instant approval processing or straight through processing. ;instant approvals: instant credit decision & response feedback to customer via mobile app. ;minimal manual intervention: in the digital bank (db) for unsecured application, the customer application details will be processed via simple app mobile application. a real time connection is built between app & this will be built to allow instant data flow for credit decision. ;reduce paper work: applicant will upload all the relevant documents and key in all the details required for system to process and provide decision on the application. ; ;responsibilites: ;understands  from the user. ;analysing the . ;converting the  into functional spec /technical spec ;coordinating with it team ;communicate well with business partners, internal it partners and vendors.production i-series business analyst- rbsroyal bank of scotland - singapore-march 2016 to june 2016team size: 4 persons. ; ;project details ;i-series production support- team lead ;involved in i-series support  gathering for apac countries such as australia, japan, singapore, korea, indonesia, thailand, india and china. ; ;responsibilites: ;understands  from the user. ;analysing the . ;converting the  into functional spec /technical spec ;coordinating with it team ;communicate well with business partners, internal it partners and vendors.senior system analystmay bank - singapore-july 2015 to february 2016in sema card system. ;team size: 7 persons.  used: as400- cobol, rpg, cl, rpgile, clle. ; ;project details"
data,Compliance Data Analyst,"compliance data analystanalytics, data science, banking, compliancesingapore-work experiencecompliance data analystbank of singapore - singapore-may 2018 to presentdata science smeresearcher - machine learningpsa international - singapore-september 2017 to april 2018machine learning, data sciencedata analystciti - pune, maharashtra-november 2015 to december 2016driving member of big data ingestion teamdata analystopus software solutions - pune, maharashtra-april 2014 to september 2015hadoop developereducationmaster of technology in business analyticsnational university of singaporejanuary 2017 to may 2018bachelor of technology in electrical & electronics engineeringu.p. technical universityjune 2007 to july 2011solutions (6 years), hadoop (4 years), hadoop (4 years), r programming (3 years)additional information                               ?   carried out business analysis for ibm g2 sense-making project initiative forname screening. ;?   data science: tools used: ;r, python, jmp, spss             ? cloudera cdh5 - hadoop platform, hive, talend, mysql, ofsaai, unix shell ;statistics, weka                    scripting, python. ;?   big data: ;hadoop, yarn, mapreduce, opus software solutions | associate - analytics ;hive, pig, flume, sqoop, pune, india - apr 2014 - oct 2015 ;hbase, cloudera cdh4/5, ;hortonworks hdp 2.1              ?   developed scripts in hive & pig to generate customer risk score which ;?   business intelligence: helped classifying 'good' and 'bad' customers. ;informatica, business objects, ? determined expected pay location changes by customers of western union ;talend, pentaho                      to prevent possibilities of money laundering and generated bi reports based ;?   visualization: on daily transaction feeds using pentaho and tableau. ;tableau, qlikview, powerbi       ? analyzed multiple tables to flag suspected fraudulent transactions and ;extracted complete transaction history of customers, counter parties, agents, ;?   languages: sql, mysql, ;mode of payments and transaction attempts made on regional basis using ;python, shell-scripting ;hive. ;?   database: mongodb, ;? monitored daily rule hits/ transactions data feed to hadoop platform and ;microsoft sql server, oracle, ;worked on further optimization. ;hbase ;? data migration from mongo db to hadoop using mongo-hadoop connector ;for cardtronics. ;? automated and scheduled hadoop tasks using shell-scripting, python and"
data,Content Analyst,"content analystcontent analyst - fixed income teamsingapore-work experiencecontent analystfixed income team-january 2016 to presentresponsible for the maintenance of database administration and sourcing of the financial markets exc hange and contributed data. processes data accurately and in a timely manner onto databases using technical and financialknowledge. communicates & liaises with internal and external departments and customers for resolution of data ;queries. support other staff; own the contributor relationship between the company and the local exchange, ;contributor or data supplier for day to day operations. ; ;? achieved an average of 99.85% data quality by ensuring that the accuracy and timeliness of ingested fixed ;income data meet the company standards. ;? lead the team on projects that strengthened product capability by implementing changes and enhancements to its content and quality. ;? enhanced client experience by providing clear and concise resolution to over 500 client queries via e-mail ;(ms outlook) and salesforce.com. ;? collaborated with and supported teammates to achieve seamless workflow during regular working days, ;holidays and high peak times as per business s.educationbachelor of science in accounting technologyfar eastern university2011 to 2015database (2 years), database administration (2 years), maintenance (2 years), client support (less than 1 year), team player (less than 1 year)linkshttp://linkedin.com/in/manolollorinadditional informationcore competencies include: ;? data sourcing & processing                                ?   client support ;? data maintenance                                          ?   critical thinker ;? client communications                                     ?   team player ;? database administration                                   ?   customer centric"
data,Data Analyst/Entry,"data analyst/entrydata analyst/entrysingapore-work experiencedata analyst/entryaccenture inc - cebu city-june 2012 to february 20185th floor filinvest cyberzonelahug, cebu city, philippines 6000 ; ;reason for leaving: i was looking for career growth/career advancement. ; ;? analyze the personal information of our clients. ;? process the enrollment on our system. ;? run through our workload inventory. ;? process all the request of our client (enrollment, withdrawals, change name, change date of birth, change gender, change package, terminate dependents, addition of dependents, addition of coverage and etc.) ;? process the claims of the package. ;? inform the client about the bracket of the coverage they have. ;? inform the client of pre existing that they have. ;? inform the client the papers that they need to submit. ;? hit the target of our project. ;? created a macro to help the business lessen the expenses and save time for the processors. ;? email the minutes of the meeting to the processors on the updates/changes on our process. ;? update the processors on the number of inventory that we need to reduce. ;? help my co-processor on the bulk workload that was assigned to him/her.accenture inc-july 2016 to september 2016accenture ; ;reason for leaving: i was sent back to the production floor since that was a temporary support for the human resource department for them to hit the target and fasten the process of there job. ; ;? interview applicants. ;? review the cv of the applicant. ;? send the number of applicants hired in every project that needs manpower. ;? calling and interviewing applicants through cellphone. ;? update the list of the applicants who are still active. ;? update the profile of the applicants hired. ;? hit the target for the month.accounting staffteleperformance philippines - cebu city-may 2012 to june 20124th floor insular building, ;ayala business park, cebu city ; ;reason for leaving: that was a contractual base and i already finished the contract. ; ;? did all the physical asset counting of the company ;? send report to my boss about the project update. ;? balance the recorded asset of the company on the physical counting. ;? tag the counted asset. ;? roam around the building and going up and down on every floor in balancing the asset.educationbachelor of science in business administrationuniversity of san carlos2012saint alphonsus catholic school2000 to 2004supervisionmabolo elemenetary school1994 to 2000"
